
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.0.102:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.102:1870     98.66.133.184:443      ESTABLISHED     5580
  TCP    192.168.0.102:10173    91.105.192.100:443     ESTABLISHED     25004
  TCP    192.168.0.102:11442    142.251.36.106:443     ESTABLISHED     7188
  TCP    192.168.0.102:11443    142.251.36.106:443     ESTABLISHED     7188
  TCP    192.168.0.102:11445    142.250.187.234:443    ESTABLISHED     7188
  TCP    192.168.0.102:11446    172.217.16.193:443     TIME_WAIT       0
  TCP    192.168.0.102:14897    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:19161    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:27296    74.125.71.188:5228     ESTABLISHED     1036
  TCP    192.168.0.102:28876    149.154.167.50:443     ESTABLISHED     25004
  TCP    192.168.0.102:28880    91.108.56.169:443      ESTABLISHED     25004
  TCP    192.168.0.102:28882    149.154.167.51:443     ESTABLISHED     25004
  TCP    192.168.0.102:28886    149.154.167.41:443     ESTABLISHED     25004
  TCP    192.168.0.102:31495    216.239.32.223:443     ESTABLISHED     14116
  TCP    192.168.0.102:33547    3.233.158.15:443       ESTABLISHED     1036
  TCP    192.168.0.102:33928    142.251.127.188:5228   ESTABLISHED     1036
  TCP    192.168.0.102:33933    52.182.143.209:443     ESTABLISHED     9380
  TCP    192.168.0.102:36070    3.233.158.15:443       ESTABLISHED     1036
  TCP    192.168.0.102:38072    149.154.167.41:443     ESTABLISHED     25004
  TCP    192.168.0.102:39081    185.199.109.133:443    ESTABLISHED     1036
  TCP    192.168.0.102:43127    142.251.36.106:443     TIME_WAIT       0
  TCP    192.168.0.102:43129    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:43473    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:44178    34.54.84.110:443       ESTABLISHED     14116
  TCP    192.168.0.102:48323    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:49533    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:51780    216.239.32.223:443     ESTABLISHED     7188
  TCP    192.168.0.102:54224    142.251.36.106:443     ESTABLISHED     14116
  TCP    192.168.0.102:54226    142.250.187.234:443    ESTABLISHED     14116
  TCP    192.168.0.102:54227    142.251.36.106:443     ESTABLISHED     14116
  TCP    192.168.0.102:62590    91.105.192.100:443     ESTABLISHED     25004
  TCP    192.168.0.102:62677    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.0.102:63639    34.54.84.110:443       TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1412
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1536              [::]:0                 LISTENING       1136
  TCP    [::]:1537              [::]:0                 LISTENING       652
  TCP    [::]:1538              [::]:0                 LISTENING       2888
  TCP    [::]:1539              [::]:0                 LISTENING       3000
  TCP    [::]:1540              [::]:0                 LISTENING       3928
  TCP    [::]:1576              [::]:0                 LISTENING       1108
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:29592             [::]:0                 LISTENING       20068
  TCP    [::]:64646             [::]:0                 LISTENING       5956
  TCP    [::1]:1541             [::]:0                 LISTENING       5288
  TCP    [::1]:30429            [::1]:9229             SYN_SENT        16268
  UDP    0.0.0.0:53             *:*                                    4728
  UDP    0.0.0.0:500            *:*                                    5144
  UDP    0.0.0.0:3544           *:*                                    5344
  UDP    0.0.0.0:3702           *:*                                    26844
  UDP    0.0.0.0:3702           *:*                                    26844
  UDP    0.0.0.0:4500           *:*                                    5144
  UDP    0.0.0.0:5050           *:*                                    10620
  UDP    0.0.0.0:5353           *:*                                    1904
  UDP    0.0.0.0:5353           *:*                                    16268
  UDP    0.0.0.0:5353           *:*                                    16268
  UDP    0.0.0.0:5353           *:*                                    16268
  UDP    0.0.0.0:5353           *:*                                    16268
  UDP    0.0.0.0:5353           *:*                                    16268
  UDP    0.0.0.0:5355           *:*                                    1904
  UDP    0.0.0.0:49664          *:*                                    4808
  UDP    0.0.0.0:51077          *:*                                    26844
  UDP    0.0.0.0:53579          142.250.187.196:443                    1036
  UDP    0.0.0.0:54143          172.217.20.142:443                     1036
  UDP    0.0.0.0:60587          *:*                                    4728
  UDP    0.0.0.0:60588          *:*                                    4728
  UDP    0.0.0.0:62362          142.251.143.106:443                    1036
  UDP    0.0.0.0:64343          142.251.127.84:443                     1036
  UDP    0.0.0.0:64444          142.250.187.196:443                    1036
  UDP    127.0.0.1:1900         *:*                                    9124
  UDP    127.0.0.1:10210        *:*                                    11736
  UDP    127.0.0.1:49670        127.0.0.1:49670                        5344
  UDP    127.0.0.1:50933        *:*                                    9124
  UDP    127.0.0.1:59463        *:*                                    15640
  UDP    172.24.192.1:137       *:*                                    4
  UDP    172.24.192.1:138       *:*                                    4
  UDP    172.24.192.1:1900      *:*                                    9124
  UDP    172.24.192.1:2177      *:*                                    7652
  UDP    172.24.192.1:5353      *:*                                    4808
  UDP    172.24.192.1:50934     *:*                                    9124
  UDP    192.168.0.102:137      *:*                                    4
  UDP    192.168.0.102:138      *:*                                    4
  UDP    192.168.0.102:1900     *:*                                    9124
  UDP    192.168.0.102:2177     *:*                                    7652
  UDP    192.168.0.102:5353     *:*                                    4808
  UDP    192.168.0.102:49196    *:*                                    5344
  UDP    192.168.0.102:50932    *:*                                    9124
  UDP    [::]:500               *:*                                    5144
  UDP    [::]:3702              *:*                                    26844
  UDP    [::]:3702              *:*                                    26844
  UDP    [::]:4500              *:*                                    5144
  UDP    [::]:5353              *:*                                    1904
  UDP    [::]:5353              *:*                                    16268
  UDP    [::]:5353              *:*                                    16268
  UDP    [::]:5353              *:*                                    16268
  UDP    [::]:5355              *:*                                    1904
  UDP    [::]:49665             *:*                                    4808
  UDP    [::]:51078             *:*                                    26844
  UDP    [::]:60589             *:*                                    4728
  UDP    [::1]:1900             *:*                                    9124
  UDP    [::1]:5353             *:*                                    4808
  UDP    [::1]:50930            *:*                                    9124
  UDP    [fe80::1856:3fd3:a443:7df1%13]:546  *:*                                    2032
  UDP    [fe80::19d5:50db:1a90:aa39%19]:1900  *:*                                    9124
  UDP    [fe80::19d5:50db:1a90:aa39%19]:2177  *:*                                    7652
  UDP    [fe80::19d5:50db:1a90:aa39%19]:50929  *:*                                    9124
  UDP    [fe80::e60e:3154:84a6:3007%45]:1900  *:*                                    9124
  UDP    [fe80::e60e:3154:84a6:3007%45]:2177  *:*                                    7652
  UDP    [fe80::e60e:3154:84a6:3007%45]:50931  *:*                                    9124
